run,lag,Exact,QFT2,VB,EP,Laplace,OracleSampling
7,9,0.00018499843716634408,0.00018732406149349974,0.0,1.4814769514277329e-06,0.00020123625780976275,0.072524069823541
7,10,9.936026561677534e-05,0.00010062278557425571,0.0,5.41876533531657e-07,0.00010906329786796804,0.08133200772455128
8,0,1.0,1.0132146930548118,0.7901618103100941,0.5169191416959984,1.0182038816364907,1.002208597115554
8,1,0.29122928824377486,0.29509659324359133,0.0,0.09013556544680947,0.29857813681826123,0.29244950627463207
8,2,0.0874384104983821,0.08859755248295959,0.0,0.016788509374327906,0.09032479244978363,0.10172704330480827
8,3,0.030370251028874796,0.03077387003418578,0.0,0.003700593658937792,0.03160447147189222,0.06569868693560942
8,4,0.012085058641086981,0.012245993845340556,0.0,0.0009310984792600367,0.012665416295491965,0.059409103436172186
8,5,0.004982801114970139,0.005049037468581498,0.0,0.00024369539696125246,0.005259994194598732,0.06302355024136563
8,6,0.002082508031144179,0.0021101151864047285,0.0,6.449333412212948e-05,0.0022143353308408586,0.05741644748956438
8,7,0.0009011407655239547,0.0009130154157672549,0.0,1.756839008027571e-05,0.0009652655396068119,0.06463421375078841
8,8,0.0003986785542557562,0.0004039135724140076,0.0,4.902696039544109e-06,0.0004303891439005578,0.06500463532894736
8,9,0.00018587606665759938,0.00018830777087097404,0.0,1.4502708431141162e-06,0.00020232386985562042,0.06546183919575958
8,10,9.94921169391541e-05,0.00010078779549441446,0.0,5.299421292457172e-07,0.0001092644860828678,0.07760257423689751
9,0,1.0,1.01308110508255,0.7901953867746591,0.5181980015674964,1.0180849690699445,1.008572907776109
9,1,0.2912179136530759,0.295043800838034,0.0,0.09043199518412046,0.29852820378419737,0.30145608423076503
9,2,0.08747460512762242,0.08862394555475285,0.0,0.0168564893930157,0.09035115823644478,0.10699510272618437
9,3,0.03036443245538884,0.030763307045940456,0.0,0.003719543814633542,0.0315934427475198,0.06891267337118674
9,4,0.012069564513775992,0.012227616604659364,0.0,0.0009370748627588447,0.012646329402653493,0.06111509657862206
9,5,0.00497961704269356,0.005044914773282478,0.0,0.00024559385548555924,0.005255528533823177,0.06234747640524058
9,6,0.0020818408262632307,0.0021091052507724913,0.0,6.50892254612548e-05,0.0022131470224604206,0.05920165728787551
9,7,0.0009025701656623191,0.0009144252933652241,0.0,1.7738123425920836e-05,0.0009666564343700917,0.06360577162786624
9,8,0.0003993288248128393,0.0004045566819067216,0.0,4.947523793454931e-06,0.000431032608548942,0.06811651423436212
9,9,0.0001859070710762128,0.00018831483479828364,0.0,1.464701077577342e-06,0.00020231824113469462,0.06893150159172454
9,10,9.973448603735406e-05,0.0001010344960924816,0.0,5.353179331815864e-07,0.00010952330007009871,0.07957182825402712
