run,epsilon,mean_p0,mean_p1,mean_p2,cov_p0,cov_p1,cov_p2
8,0.007,0.006649435760537752,2.3300177002401038e-05,5.439877897486004e-08,0.013319177788921398,2.2590711441004293e-06,2.0591070468400392e-07
8,0.01,0.009458164811989793,4.736964196862843e-05,1.580303011540727e-07,0.018918258567733763,4.717777603021706e-06,5.955642713261018e-07
8,0.02,0.01864765204243909,0.00018709810468187953,1.2493967893305978e-06,0.03712523315136166,2.0325865637954952e-05,4.640926628120556e-06
8,0.04,0.036263404675018006,0.0007301030851920185,9.767070012173566e-06,0.07154790713724304,9.295573952436809e-05,3.526504642036221e-05
8,0.07,0.060925196088203445,0.0021572576200406877,5.062825974783441e-05,0.11868122780432024,0.0003353392232366642,0.00017541431720859965
8,0.1,0.08368088148497513,0.004253766522574741,0.0001429658778027454,0.1610768494546903,0.0007771382868930952,0.0004760408593408553
8,0.16,0.12426048123981694,0.010205814490074811,0.000551489168316545,0.23407246009983093,0.00238013256224171,0.0017029079380862298
8,0.25,0.17510791727022723,0.02279956145149161,0.0019388733887232472,0.32082301579803396,0.006815832802588722,0.005393979582799557
8,0.36,0.22488872710296667,0.04290353906302852,0.005299068846850587,0.4006751181878337,0.015684442589355398,0.01313442506545714
9,0.001,0.0009701253607762903,4.851435241967906e-07,1.617279475540493e-10,0.0019359135799207692,3.341698665715674e-08,6.169011810352969e-10
9,0.002,0.0019374035482227158,1.938049349381378e-06,1.292248199011049e-09,0.003864287820637955,1.3549992685121836e-07,4.921946790112188e-09
9,0.004,0.0038634664708653505,7.732084228995869e-06,1.0312881195196011e-08,0.0076985792093207965,5.566761702569544e-07,3.916469366727315e-08
9,0.007,0.006731505713406391,2.3587756956138303e-05,5.507019013147614e-08,0.013394469889415457,1.7722944440256824e-06,2.0822043370948904e-07
9,0.01,0.009574560789053787,4.7952591818813734e-05,1.599750855634606e-07,0.019024644565286186,3.7544668153877296e-06,6.022250799579353e-07
9,0.02,0.018874942490136104,0.00018937858545659987,1.2646252993211639e-06,0.037330446417616264,1.6834321302294488e-05,4.692330789863812e-06
9,0.04,0.036697232163900965,0.0007388374770924316,9.883915727435649e-06,0.07193040112049917,8.126709120174708e-05,3.564845369858199e-05
9,0.07,0.06163485328195989,0.002182385374847282,5.121797814095705e-05,0.11928608353977506,0.00030678394913728903,0.0001772723010278657
9,0.1,0.08463129375083606,0.004302079014119048,0.00014458962412871026,0.16186147939288043,0.0007289388677422,0.0004809628396006181
9,0.16,0.12560755046786964,0.010316452550620085,0.0005574676908591148,0.2351213450075632,0.0022896807173217217,0.0017197736757076246
9,0.25,0.1768931174633099,0.023031999722358552,0.0019586399258500068,0.3221105853844076,0.0066625861974368115,0.005444621925146778
9,0.36,0.22703968843740643,0.04331389246234741,0.005349752099608261,0.4021088496274658,0.015461812588560938,0.013251613474079164
