run,lambda,lag,normalized_self_energy
0,0.6,16,2.9496901975680026e-16
0,0.6,17,2.9782614421526686e-16
0,0.6,18,2.972389975478776e-16
0,0.6,19,2.855719973777921e-16
0,0.6,20,2.9565070771653764e-16
0,0.6,21,2.8482886539847893e-16
0,0.6,22,2.6376867209544805e-16
0,0.6,23,2.5347533160649594e-16
0,0.6,24,2.619684328619402e-16
0,0.6,25,2.744915979652982e-16
0,0.6,26,2.7874255115005567e-16
0,0.6,27,2.645118467150541e-16
0,0.6,28,2.6936324687432287e-16
0,0.6,29,2.373625164660689e-16
0,0.6,30,1.3124601493368637e-16
1,0.6,0,0.012322066132195844
1,0.6,1,0.001907006398392291
1,0.6,2,3.742767323539616e-06
1,0.6,3,1.2406691158876216e-07
1,0.6,4,8.160110149035088e-09
1,0.6,5,9.985666088876027e-10
1,0.6,6,1.4711602921524892e-10
1,0.6,7,2.4552398762789058e-11
1,0.6,8,3.854151238394699e-12
1,0.6,9,6.524703837544126e-13
1,0.6,10,1.1822511508829993e-13
1,0.6,11,2.024401281009316e-14
1,0.6,12,3.4098540071052986e-15
1,0.6,13,7.123542739714352e-16
1,0.6,14,3.175258333056516e-16
1,0.6,15,2.9444898333404037e-16
1,0.6,16,3.029834275025848e-16
1,0.6,17,2.9350910759445843e-16
1,0.6,18,2.9145314092220247e-16
1,0.6,19,2.991681971115099e-16
1,0.6,20,3.029565184469754e-16
1,0.6,21,2.8669389283260774e-16
1,0.6,22,2.70471917320922e-16
1,0.6,23,2.7918552437822824e-16
1,0.6,24,2.7224457338344955e-16
1,0.6,25,2.4657076261543904e-16
1,0.6,26,2.714903686767617e-16
1,0.6,27,2.602015590097591e-16
1,0.6,28,2.4466502500586755e-16
1,0.6,29,2.0696890822387515e-16
1,0.6,30,1.6062078785126627e-16
2,0.6,0,0.01232027409208477
2,0.6,1,0.0019068180527793612
2,0.6,2,3.8770585588980924e-06
2,0.6,3,1.2054598204275607e-07
2,0.6,4,7.570787434075218e-09
2,0.6,5,8.238623962840952e-10
2,0.6,6,1.3225370211316176e-10
2,0.6,7,2.137810614695125e-11
2,0.6,8,3.769907260609093e-12
2,0.6,9,6.986701485180734e-13
2,0.6,10,1.2687097007579985e-13
2,0.6,11,2.0650019226660418e-14
2,0.6,12,3.6799799461065694e-15
2,0.6,13,7.176993106684885e-16
2,0.6,14,3.434110564491013e-16
2,0.6,15,2.8926827190278184e-16
2,0.6,16,3.017540992221264e-16
2,0.6,17,2.9494707253214236e-16
2,0.6,18,2.8524176408697747e-16
2,0.6,19,3.0095673110809133e-16
2,0.6,20,2.9679606869416184e-16
2,0.6,21,3.095001130006824e-16
2,0.6,22,3.0338141009158927e-16
2,0.6,23,3.0139720034903534e-16
2,0.6,24,2.754792051039931e-16
2,0.6,25,2.7187487205364286e-16
2,0.6,26,2.8917709555652093e-16
2,0.6,27,3.0903657319101825e-16
2,0.6,28,2.5682799285810754e-16
2,0.6,29,2.1774164630363139e-16
2,0.6,30,1.4320126546396007e-16
3,0.6,0,0.01228936439697602
3,0.6,1,0.0018858900015006012
3,0.6,2,6.195464146108907e-06
3,0.6,3,2.118232745219459e-07
3,0.6,4,1.540031002013065e-08
3,0.6,5,1.7328447041820906e-09
3,0.6,6,2.2817179307960618e-10
3,0.6,7,3.443010958206472e-11
