run,epsilon,mean_QFT2,cov_QFT2,mean_VB,cov_VB,mean_EP,cov_EP,mean_Laplace,cov_Laplace,mean_OracleSampling,cov_OracleSampling
7,0.01,1.5611814870808953e-07,5.843813550701178e-07,3.723566936015764e-05,0.4610176768392296,0.024479048928227273,0.03250157623167783,0.0006809873017638147,0.0009014739055244308,0.018722314510215016,0.18409007792192883
7,0.02,1.2344221446392308e-06,4.554547949989201e-06,7.398260252183808e-05,0.4610269380494446,0.047166588143938606,0.06276160980050549,0.001343331380761264,0.0017776359972145632,0.021060992675100997,0.1837447109114388
7,0.04,9.652147871884129e-06,3.461968473057386e-05,0.0001403114142169989,0.4610424148461071,0.0879241286595395,0.11742885331704152,0.0026149522865173843,0.0034580161039799067,0.019799384354495193,0.1877621001266323
7,0.07,5.004807891014097e-05,0.00017227939422735875,0.00023039675989408291,0.461061265764251,0.13972125505167204,0.18739319059227938,0.004399524063323047,0.005812370403534381,0.020709648676387808,0.18292089788409313
7,0.1,0.00014136796140809565,0.0004677174363326769,0.00031538104884379467,0.4610866091798027,0.18291136763639623,0.24605096093884796,0.0060506806196553575,0.007986705720198656,0.018521756933878353,0.18705999476571591
7,0.16,0.0005456029430038271,0.001674269300980929,0.0004553206637423996,0.46112957162163415,0.25108948095543904,0.33892905078990876,0.00900603491984618,0.011868911392940695,0.02138801528616236,0.18709473771764706
7,0.25,0.0019194005217185318,0.005307524502933246,0.0006118802133561255,0.4611835780635082,0.3242054614633215,0.43823561149080265,0.01272922298413373,0.016742404051205688,0.020577336373340027,0.18160936249808643
7,0.36,0.0052491101410391625,0.012933249605574336,0.0007580975881101094,0.4612372042423705,0.38602935105914704,0.5210907190371025,0.016396386289114502,0.02152385312816281,0.021362992655946333,0.19055735443235464
8,0.01,1.5766710443370886e-07,5.956807143750812e-07,4.3008663752916636e-05,0.4610195431230791,0.020804209489288888,0.03280684319176153,0.0007135474847182648,0.0009084746721399709,0.025978245435265983,0.18462585944813545
8,0.02,1.2465551951760501e-06,4.641903488507499e-06,8.053213561838712e-05,0.4610264212381837,0.04032894855710389,0.06331028728048489,0.0014074114328908437,0.0017912868841094066,0.023770801709362317,0.18533735847260108
8,0.04,9.745302221404765e-06,3.5273457586438046e-05,0.00015259037806441788,0.4610415776597479,0.07600183569142352,0.11833361703172678,0.00273914368259148,0.0034840024899074297,0.02359134703537323,0.18600933742101666
8,0.07,5.0518647805018585e-05,0.00017546278635467266,0.00025492390170338763,0.46106678946248,0.1224624473703608,0.18863052714255346,0.004607208693789967,0.005854732998560824,0.025443955715846053,0.18511127832233193
8,0.1,0.0001426647053944135,0.0004761883287924422,0.0003422822986857381,0.46108774617020704,0.16217636790592352,0.24748856806774278,0.006334753195476499,0.008043275682571755,0.02505721250674182,0.1852130995357124
