run,lag,bare,inverse_two_point,self_energy
7,7,0.0,2.992603352398388e-11,2.992603352398388e-11
7,8,0.0,5.054285124949954e-12,5.054285124949954e-12
7,9,0.0,9.120496573369617e-13,9.120496573369617e-13
7,10,0.0,1.535889366741717e-13,1.535889366741717e-13
7,11,0.0,2.675231150406899e-14,2.675231150406899e-14
7,12,0.0,4.651255052930868e-15,4.651255052930868e-15
7,13,0.0,8.349557757194556e-16,8.349557757194556e-16
7,14,0.0,3.2653044859848706e-16,3.2653044859848706e-16
7,15,0.0,2.94472663492427e-16,2.94472663492427e-16
7,16,0.0,2.9002674981263424e-16,2.9002674981263424e-16
7,17,0.0,2.8409936393707564e-16,2.8409936393707564e-16
7,18,0.0,2.9881204513186076e-16,2.9881204513186076e-16
7,19,0.0,3.0015953101904176e-16,3.0015953101904176e-16
7,20,0.0,2.9137297939475297e-16,2.9137297939475297e-16
7,21,0.0,2.9344573516114357e-16,2.9344573516114357e-16
7,22,0.0,2.9769808333182763e-16,2.9769808333182763e-16
7,23,0.0,3.0646834261559315e-16,3.0646834261559315e-16
7,24,0.0,2.869314666618995e-16,2.869314666618995e-16
7,25,0.0,2.805973983062671e-16,2.805973983062671e-16
7,26,0.0,2.877437641952869e-16,2.877437641952869e-16
7,27,0.0,2.700618362738093e-16,2.700618362738093e-16
7,28,0.0,2.5174455167785355e-16,2.5174455167785355e-16
7,29,0.0,2.2948761059360787e-16,2.2948761059360787e-16
7,30,0.0,1.687068874362338e-16,1.687068874362338e-16
8,0,1.0,1.012210293133429,0.012309043725119087
8,1,0.2742984510673091,0.2761949011513038,0.0018999524065305483
8,2,0.0,5.072000649866654e-06,5.072000649866654e-06
8,3,0.0,1.6467928650662925e-07,1.6467928650662925e-07
8,4,0.0,1.4053013685703534e-08,1.4053013685703534e-08
8,5,0.0,1.5557261852556822e-09,1.5557261852556822e-09
8,6,0.0,2.3086351254004536e-10,2.3086351254004536e-10
8,7,0.0,3.463766566251549e-11,3.463766566251549e-11
8,8,0.0,5.623752668592943e-12,5.623752668592943e-12
8,9,0.0,9.330703068417917e-13,9.330703068417917e-13
8,10,0.0,1.6193062235644262e-13,1.6193062235644262e-13
8,11,0.0,2.945000777946e-14,2.945000777946e-14
8,12,0.0,5.267838800681482e-15,5.267838800681482e-15
8,13,0.0,9.213173708512397e-16,9.213173708512397e-16
8,14,0.0,3.5496990492960634e-16,3.5496990492960634e-16
8,15,0.0,2.8947756183046103e-16,2.8947756183046103e-16
8,16,0.0,3.0476133724944023e-16,3.0476133724944023e-16
8,17,0.0,2.9516876891937184e-16,2.9516876891937184e-16
8,18,0.0,2.902793249081483e-16,2.902793249081483e-16
8,19,0.0,2.834631957166866e-16,2.834631957166866e-16
8,20,0.0,2.888213265246449e-16,2.888213265246449e-16
8,21,0.0,2.8777134473612706e-16,2.8777134473612706e-16
8,22,0.0,2.8124099362775435e-16,2.8124099362775435e-16
8,23,0.0,2.739896954497987e-16,2.739896954497987e-16
8,24,0.0,2.7546807583585746e-16,2.7546807583585746e-16
8,25,0.0,2.6571551735906135e-16,2.6571551735906135e-16
8,26,0.0,2.6713669492530625e-16,2.6713669492530625e-16
8,27,0.0,2.7618768273970257e-16,2.7618768273970257e-16
8,28,0.0,2.5704144493454714e-16,2.5704144493454714e-16
8,29,0.0,2.261611572246505e-16,2.261611572246505e-16
8,30,0.0,1.3774164871643564e-16,1.3774164871643564e-16
9,0,1.0,1.0122214984263813,0.012320628256746315
9,1,0.2742194384083956,0.2761239134367351,0.0019081615005467185
9,2,0.0,3.93165334712492e-06,3.93165334712492e-06
9,3,0.0,1.3459384561136621e-07,1.3459384561136621e-07
9,4,0.0,9.103395756237537e-09,9.103395756237537e-09
9,5,0.0,1.0760763787442268e-09,1.0760763787442268e-09
9,6,0.0,1.2625263904022128e-10,1.2625263904022128e-10
9,7,0.0,2.0010543165929552e-11,2.0010543165929552e-11
9,8,0.0,3.4713481229202614e-12,3.4713481229202614e-12
9,9,0.0,6.634322359267887e-13,6.634322359267887e-13
9,10,0.0,1.170279897105389e-13,1.170279897105389e-13
9,11,0.0,2.2037054715110732e-14,2.2037054715110732e-14
9,12,0.0,3.8791704031315074e-15,3.8791704031315074e-15
9,13,0.0,7.622500944287572e-16,7.622500944287572e-16
9,14,0.0,3.1556864624987197e-16,3.1556864624987197e-16
9,15,0.0,3.0109891271522916e-16,3.0109891271522916e-16
9,16,0.0,3.065870767834014e-16,3.065870767834014e-16
9,17,0.0,2.905617562013879e-16,2.905617562013879e-16
9,18,0.0,2.9402198276621707e-16,2.9402198276621707e-16
9,19,0.0,2.9050097664922023e-16,2.9050097664922023e-16
9,20,0.0,2.770275429587932e-16,2.770275429587932e-16
9,21,0.0,2.7442773623816415e-16,2.7442773623816415e-16
9,22,0.0,2.7865540103844655e-16,2.7865540103844655e-16
9,23,0.0,2.963869877842023e-16,2.963869877842023e-16
9,24,0.0,2.970078384934732e-16,2.970078384934732e-16
9,25,0.0,2.9949969883853316e-16,2.9949969883853316e-16
9,26,0.0,2.8312805506071545e-16,2.8312805506071545e-16
9,27,0.0,2.56537028280424e-16,2.56537028280424e-16
9,28,0.0,2.7189275908563257e-16,2.7189275908563257e-16
9,29,0.0,2.24773921534515e-16,2.24773921534515e-16
9,30,0.0,1.6229717656137435e-16,1.6229717656137435e-16
